movie_appearances,powers_count,has_powers,species_human,box_office_debut_million,intelligence_rating
2.097926169594413,-1.296459495628235,0,1,1.2951174219673403,10
1.642562349837486,0.015075110414281931,1,0,-0.5736670427214187,7
1.1871985300805592,-1.296459495628235,0,1,-5.789295120045839e-06,8
1.1871985300805592,0.8894315144426266,1,0,0.10975924617730512,6
0.7318347103236326,-0.42210309159989035,1,0,-5.789295120045839e-06,10
0.7318347103236326,-1.296459495628235,0,1,-5.789295120045839e-06,7
1.642562349837486,-1.296459495628235,0,1,-5.789295120045839e-06,9
1.1871985300805592,1.326609716456799,1,0,0.10975924617730512,10
0.27647089056670576,0.45225331242845423,1,0,-5.789295120045839e-06,9
0.27647089056670576,1.9414612229614483e-16,1,0,0.1939934901711757,7
-0.6342567489471478,0.015075110414281931,1,0,-5.789295120045839e-06,8
0.27647089056670576,1.7637879184709713,1,1,-1.7720511325311255,10
-1.0896205687040745,2.200966120485144,1,0,-5.789295120045839e-06,8
0.27647089056670576,-0.42210309159989035,1,1,-5.789295120045839e-06,7
0.27647089056670576,0.015075110414281931,1,0,-5.789295120045839e-06,6
-0.6342567489471478,-0.8592812936140627,1,1,-2.2270897289516225,6
-1.0896205687040745,-0.8592812936140627,1,1,-5.789295120045839e-06,8
-0.17889292919022098,-0.42210309159989035,1,0,-0.8993148932131867,6
4.0444431782031986e-16,0.015075110414281931,1,0,-0.8993148932131867,6
-0.17889292919022098,-0.8592812936140627,1,0,-0.8993148932131867,3
-0.17889292919022098,-0.42210309159989035,1,0,-0.8993148932131867,9
-0.17889292919022098,0.015075110414281931,1,0,-0.8993148932131867,4
-0.17889292919022098,0.45225331242845423,1,0,-5.789295120045839e-06,6
-0.6342567489471478,1.326609716456799,1,0,-5.789295120045839e-06,9
4.0444431782031986e-16,1.326609716456799,1,0,0.10975924617730512,10
-2.000348208217928,0.015075110414281931,1,0,2.28769207026625,7
-2.000348208217928,0.8894315144426266,1,0,0.1939934901711757,10
-0.6342567489471478,1.326609716456799,1,0,0.1939934901711757,9
-1.0896205687040745,-1.296459495628235,0,1,2.28769207026625,10
-1.0896205687040745,-1.296459495628235,0,1,2.28769207026625,7
